InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
541259,85099B,JUMBO BAG RED RETROSPOT,10,2025-10-19 22:06:07,2.16,12404.0,France
536380,22752,SET 7 BABUSHKA NESTING BOXES,14,2024-05-06 03:22:37,7.45,14452.0,USA
540177,84406B,CREAM CUPID HEARTS COAT HANGER,1,2025-03-14 07:03:30,2.98,16321.0,France
C541401,85099B,JUMBO BAG RED RETROSPOT,-20,2025-09-10 11:10:27,2.07,,United Kingdom
536781,21212,PACK OF 72 RETROSPOT CAKE CASES,15,2025-04-03 18:25:21,0.6,12593.0,Netherlands
539053,22698,PINK REGENCY TEACUP AND SAUCER,14,2024-03-31 22:06:17,3.17,17273.0,Norway
543345,20727,LUNCH BAG BLACK SKULL,23,2025-07-06 23:02:47,1.76,14943.0,United Kingdom
539436,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,12,2024-11-29 22:02:03,3.49,17200.0,EIRE
542180,21034,REX CASH+CARRY JUMBO SHOPPER,7,2025-04-15 21:14:34,1.19,14527.0,United Kingdom
537028,20725,LUNCH BAG RED RETROSPOT,19,2025-10-18 23:59:05,1.77,17148.0,United Kingdom
536434,21931,JUMBO STORAGE BAG SUKI,13,2024-11-21 01:44:39,1.92,17696.0,Norway
536915,20728,LUNCH BAG CARS BLUE,4,2024-07-09 14:06:12,1.76,12529.0,Belgium
541252,21770,TOADSTOOL LED NIGHT LIGHT,9,2025-12-05 12:04:40,3.85,17790.0,United Kingdom
540046,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,18,2024-03-26 12:51:04,3.96,17821.0,United Kingdom
536540,22748,POPPY'S PLAYHOUSE KITCHEN,2,2025-01-30 19:47:56,2.24,15788.0,EIRE
538083,23203,JUMBO BAG DOILEY PATTERNS,6,2024-09-24 06:37:47,2.21,14339.0,United Kingdom
542451,22752,SET 7 BABUSHKA NESTING BOXES,11,2025-01-26 07:48:40,6.93,14823.0,United Kingdom
542284,23298,SPACEBOY LUNCH BOX,7,2025-08-05 19:11:42,2.14,16778.0,Spain
537926,21034,REX CASH+CARRY JUMBO SHOPPER,10,2025-01-01 20:46:28,1.34,15114.0,United Kingdom
541088,22699,ROSES REGENCY TEACUP AND SAUCER,10,2025-08-15 15:50:53,3.2,15159.0,Japan
540484,22632,HAND WARMER RED POLKA DOT,15,2025-11-15 23:48:27,1.96,14074.0,Portugal
540296,85099B,JUMBO BAG RED RETROSPOT,14,2024-04-01 07:31:38,1.94,15759.0,United Kingdom
538773,20725,LUNCH BAG RED RETROSPOT,15,2024-06-24 09:40:43,1.67,13583.0,Canada
538215,21212,PACK OF 72 RETROSPOT CAKE CASES,11,2024-08-30 07:14:57,0.53,14506.0,United Kingdom
539976,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2025-09-26 09:27:12,1.53,17851.0,United Kingdom
538400,84406B,CREAM CUPID HEARTS COAT HANGER,18,2024-06-09 12:03:14,2.72,18105.0,Netherlands
542995,22960,JAM MAKING SET WITH JARS,8,2025-07-14 07:01:03,4.66,15395.0,Canada
541305,20727,LUNCH BAG BLACK SKULL,15,2025-03-26 20:25:11,1.7,15280.0,United Kingdom
539878,22745,POPPY'S PLAYHOUSE BEDROOM,5,2025-02-15 03:46:08,2.12,,Italy
539093,71053,WHITE METAL LANTERN,22,2025-08-20 16:52:27,3.66,15873.0,Germany
539282,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2024-02-04 14:09:54,3.68,12568.0,United Kingdom
537959,20727,LUNCH BAG BLACK SKULL,22,2024-04-11 12:12:58,1.71,15583.0,EIRE
543189,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2025-04-10 10:57:34,2.75,,United Kingdom
541832,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2024-01-26 04:43:59,2.79,15787.0,United Kingdom
539979,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,9,2025-03-06 01:18:40,4.07,15248.0,Germany
542009,23355,HOT WATER BOTTLE KEEP CALM,17,2024-08-24 03:47:18,4.61,14684.0,United Kingdom
538700,22193,RED DINER WALL CLOCK,2,2025-07-25 11:25:10,8.82,17932.0,United Kingdom
538740,22698,PINK REGENCY TEACUP AND SAUCER,11,2024-08-22 22:33:02,2.94,13262.0,United Kingdom
537917,22423,REGENCY CAKESTAND 3 TIER,22,2025-05-08 04:44:36,12.85,14797.0,Japan
538413,23203,JUMBO BAG DOILEY PATTERNS,8,2025-06-01 11:11:10,2.07,15906.0,United Kingdom
542174,23355,HOT WATER BOTTLE KEEP CALM,1,2025-10-14 23:23:06,4.98,16770.0,United Kingdom
539476,22960,JAM MAKING SET WITH JARS,12,2025-03-02 09:35:37,4.61,13124.0,United Kingdom
539153,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,19,2025-06-17 06:06:50,4.0,17020.0,Japan
541273,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2025-11-18 18:29:56,3.78,16090.0,Belgium
540761,84406B,CREAM CUPID HEARTS COAT HANGER,14,2024-11-24 09:25:53,2.6,15902.0,Germany
540483,22960,JAM MAKING SET WITH JARS,9,2024-10-10 19:41:16,4.41,13359.0,United Kingdom
536806,22698,PINK REGENCY TEACUP AND SAUCER,10,2025-02-07 18:09:52,2.93,15303.0,United Kingdom
540628,71053,WHITE METAL LANTERN,16,2024-06-26 08:42:40,3.7,15908.0,USA
539690,22697,GREEN REGENCY TEACUP AND SAUCER,24,2025-07-03 08:00:10,2.96,13502.0,United Kingdom
538737,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2025-05-03 07:54:42,4.47,16968.0,EIRE
541184,47566,PARTY BUNTING,13,2024-10-22 09:24:35,4.55,,United Kingdom
539787,23298,SPACEBOY LUNCH BOX,12,2025-08-04 07:18:06,1.88,12612.0,United Kingdom
537334,22961,JAM MAKING SET PRINTED,8,2024-02-01 01:21:42,1.54,14109.0,Italy
