InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,Year,Month,MonthName,Day,Weekday,Week,Date
541259,85099B,JUMBO BAG RED RETROSPOT,10,2025-10-19 22:06:07,2.16,12404,France,21.6,2025,10,Oct 2025,19,Sunday,42,2025-10-19
536380,22752,SET 7 BABUSHKA NESTING BOXES,14,2024-05-06 03:22:37,7.45,14452,USA,104.3,2024,5,May 2024,6,Monday,19,2024-05-06
540177,84406B,CREAM CUPID HEARTS COAT HANGER,1,2025-03-14 07:03:30,2.98,16321,France,2.98,2025,3,Mar 2025,14,Friday,11,2025-03-14
536781,21212,PACK OF 72 RETROSPOT CAKE CASES,15,2025-04-03 18:25:21,0.6,12593,Netherlands,9.0,2025,4,Apr 2025,3,Thursday,14,2025-04-03
539053,22698,PINK REGENCY TEACUP AND SAUCER,14,2024-03-31 22:06:17,3.17,17273,Norway,44.38,2024,3,Mar 2024,31,Sunday,13,2024-03-31
543345,20727,LUNCH BAG BLACK SKULL,23,2025-07-06 23:02:47,1.76,14943,United Kingdom,40.48,2025,7,Jul 2025,6,Sunday,27,2025-07-06
539436,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,12,2024-11-29 22:02:03,3.49,17200,EIRE,41.88,2024,11,Nov 2024,29,Friday,48,2024-11-29
542180,21034,REX CASH+CARRY JUMBO SHOPPER,7,2025-04-15 21:14:34,1.19,14527,United Kingdom,8.33,2025,4,Apr 2025,15,Tuesday,16,2025-04-15
537028,20725,LUNCH BAG RED RETROSPOT,19,2025-10-18 23:59:05,1.77,17148,United Kingdom,33.63,2025,10,Oct 2025,18,Saturday,42,2025-10-18
536434,21931,JUMBO STORAGE BAG SUKI,13,2024-11-21 01:44:39,1.92,17696,Norway,24.96,2024,11,Nov 2024,21,Thursday,47,2024-11-21
536915,20728,LUNCH BAG CARS BLUE,4,2024-07-09 14:06:12,1.76,12529,Belgium,7.04,2024,7,Jul 2024,9,Tuesday,28,2024-07-09
541252,21770,TOADSTOOL LED NIGHT LIGHT,9,2025-12-05 12:04:40,3.85,17790,United Kingdom,34.65,2025,12,Dec 2025,5,Friday,49,2025-12-05
